task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",77.0000,0.0077,3.5455,4.0000,11.3247,10.9351,4.7305,18.0195
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,20.0000,0.0020,3.6500,4.0000,12.6000,12.1000,4.1275,7.6250
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",44.0000,0.0044,3.5455,4.0000,10.8182,10.1364,4.3784,13.7273
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",18.0000,0.0018,2.9444,3.0000,9.3889,8.5556,0.9278,8.9444
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",869.0000,0.0869,3.5834,4.0000,13.5121,13.6053,2.9542,20.4638
"advise management on organizing, preparing, or implementing recruiting or retention programs.",46.0000,0.0046,3.6957,4.0000,14.8261,14.9130,3.9000,16.4783
"advise management on short-term and long-term financial objectives, policies, and actions.",39.0000,0.0039,3.6410,4.0000,14.3077,14.0513,4.1859,25.1154
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",26.0000,0.0026,3.6538,4.0000,14.5385,13.5385,2.5962,14.4615
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",20.0000,0.0020,3.4500,4.0000,14.3500,13.4500,3.0875,17.5000
advise or assist in obtaining patents or meeting other legal requirements.,85.0000,0.0085,3.2941,3.0000,14.8706,14.4588,2.6247,13.9529
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,29.0000,0.0029,3.5517,4.0000,11.0000,11.0000,2.0983,11.2241
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",352.0000,0.0352,3.4432,4.0000,9.8267,8.7585,1.1418,11.4943
advise participants in use of heat or ultraviolet treatments and hot baths.,44.0000,0.0044,3.5455,4.0000,9.6364,8.1364,1.1711,7.8068
advise patients about recommended courses of treatment.,20.0000,0.0020,3.6000,4.0000,12.1500,12.0500,1.1600,8.7500
advise patients about therapeutic exercise and nutritional medicine regimens.,19.0000,0.0019,3.8421,4.0000,10.5263,8.8421,1.5147,8.5789
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",24.0000,0.0024,3.2917,3.0000,8.6667,7.4167,0.6250,6.0417
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",731.0000,0.0731,3.5034,4.0000,9.6074,8.5198,1.7243,15.3892
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",52.0000,0.0052,3.4038,3.5000,8.5962,8.0769,0.9885,7.3269
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",45.0000,0.0045,3.3778,4.0000,15.0667,14.8889,5.6356,17.2000
advise producers about improved products and techniques that could enhance their animal production efforts.,36.0000,0.0036,3.5833,4.0000,12.2778,11.7778,5.2958,17.7639
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",47.0000,0.0047,3.0213,3.0000,15.0638,14.1702,2.2160,10.5213
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",49.0000,0.0049,3.3673,4.0000,9.2449,8.9592,0.6551,7.3367
advise students on academic and vocational curricula and career issues.,177.0000,0.0177,3.4294,4.0000,14.8870,15.4124,4.2450,22.5621
advise students on academic and vocational curricula and on career issues.,2156.0000,0.2156,3.5654,4.0000,14.2324,14.6517,3.3790,21.3214
"advise students on academic and vocational curricula, and on career issues.",265.0000,0.0265,3.4830,4.0000,14.7736,15.1849,3.7263,21.9396
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",68.0000,0.0068,3.4706,4.0000,16.2059,16.5147,5.9051,25.9118
"advise students on course selection, career decisions, and other academic and vocational concerns.",44.0000,0.0044,3.5455,4.0000,13.2955,13.7955,1.9364,15.9318
"advise students on internships, prospective employers, and job placement services.",159.0000,0.0159,3.5409,4.0000,13.8176,14.2579,1.9091,16.4182
"advise students on issues such as course selection, progress toward graduation, and career decisions.",238.0000,0.0238,3.3361,4.0000,12.4076,13.0714,1.8174,14.5336
"align, adjust, or calibrate equipment according to specifications.",16.0000,0.0016,3.6250,4.0000,13.8125,13.5625,2.1094,19.0000
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",25.0000,0.0025,3.2800,3.0000,11.1200,11.2800,3.8824,21.6200
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,51.0000,0.0051,3.7451,4.0000,14.0000,13.8431,6.2814,18.0490
analyze and classify risks and investments to determine their potential impacts on companies.,146.0000,0.0146,3.5753,4.0000,14.1781,13.9863,4.1288,15.1712
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,24.0000,0.0024,2.9583,3.5000,15.8750,15.6667,3.2687,23.0833
analyze and evaluate robotic systems or prototypes.,25.0000,0.0025,3.7200,4.0000,13.9200,14.2000,4.4480,19.1800
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",205.0000,0.0205,3.5561,4.0000,13.7756,13.6000,3.4494,17.3878
analyze and interpret data to increase the understanding of human social behavior.,32.0000,0.0032,3.3750,4.0000,12.5938,12.7188,2.1438,10.8438
analyze and interpret news and information received from various sources to broadcast the information.,163.0000,0.0163,3.1227,3.0000,9.9325,9.1166,0.9023,3.9325
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",32.0000,0.0032,3.5312,4.0000,14.7500,14.1562,4.2838,15.2188
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",419.0000,0.0419,3.6587,4.0000,12.1026,10.0621,0.9575,11.8079
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",16.0000,0.0016,3.2500,3.5000,13.8750,14.7500,1.8894,14.7812
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,64.0000,0.0064,3.2344,3.0000,14.2969,14.3125,3.4344,18.0469
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",36.0000,0.0036,3.6389,4.0000,14.2222,14.5278,4.9356,15.0556
"analyze and record test data to issue reports that use charts, graphs, or narratives.",145.0000,0.0145,3.2483,3.0000,13.2000,13.5379,3.0389,16.1552
analyze and report computer network security breaches or attempted breaches.,561.0000,0.0561,3.4635,4.0000,13.3868,13.2121,2.8622,11.8488
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",29.0000,0.0029,3.2069,3.0000,13.0345,13.3448,2.6552,14.7069
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,24.0000,0.0024,3.5833,4.0000,15.9583,16.7500,3.0312,12.0208
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",53.0000,0.0053,3.1698,3.0000,13.0566,12.9245,2.3783,9.9245
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",457.0000,0.0457,3.3917,4.0000,13.4092,13.6105,5.6169,15.4453
analyze characteristics of animals to identify and classify them.,286.0000,0.0286,3.3077,3.0000,9.2273,7.6119,1.1312,7.9021
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",87.0000,0.0087,3.3678,4.0000,13.5402,13.7701,2.9517,14.7701
"analyze competitive market strategies through analysis of related product, market, or share trends.",192.0000,0.0192,3.6510,4.0000,14.7708,14.7500,6.3569,13.7240
analyze completed police reports to determine what additional information and investigative work is needed.,19.0000,0.0019,3.4211,4.0000,14.1053,14.3684,2.8263,13.9211
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",39.0000,0.0039,3.8718,4.0000,14.7692,14.6154,5.3231,16.2179
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",17.0000,0.0017,3.4706,4.0000,14.4706,14.5882,5.1353,12.5882
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",197.0000,0.0197,3.5838,4.0000,13.6041,13.3655,3.2261,11.7386
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,73.0000,0.0073,3.2877,4.0000,14.4521,14.3562,3.9842,15.0205
analyze customer bills and utility rate structures to select optimal rate structures for customers.,35.0000,0.0035,3.4000,3.0000,11.2571,10.8571,2.1157,14.8857
"analyze data from surveys, old records, or case studies, using statistical software.",70.0000,0.0070,3.4571,4.0000,14.2286,14.7429,2.9936,17.8857
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",203.0000,0.0203,3.7980,4.0000,13.5911,12.1478,2.9090,21.9507
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,37.0000,0.0037,3.4865,4.0000,14.2162,15.0270,5.8270,15.4865
analyze data to determine answers to questions from customers or members of the public.,167.0000,0.0167,2.9281,3.0000,9.5150,9.2515,0.8577,4.8353
analyze data to determine feasibility of product proposals.,56.0000,0.0056,3.8929,4.0000,13.3214,12.4821,6.8098,21.6964
analyze details of sales territories to assess their growth potential and to set quotas.,17.0000,0.0017,3.1176,3.0000,13.8824,14.2353,3.1853,11.5294
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",39.0000,0.0039,3.5897,4.0000,14.5641,14.6667,2.8436,13.0385
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,125.0000,0.0125,3.6160,4.0000,14.3200,14.3360,3.9580,16.4040
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",53.0000,0.0053,3.6226,4.0000,14.8868,14.7358,6.2438,18.3679
analyze employment-related data and prepare required reports.,23.0000,0.0023,3.1304,3.0000,13.9130,13.9130,4.7674,13.5000
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,37.0000,0.0037,3.5405,4.0000,10.9730,10.7838,3.3535,13.6892
analyze equipment performance records to assess equipment functioning.,85.0000,0.0085,3.4824,4.0000,12.5765,12.3882,2.2129,13.9118
analyze existing development or manufacturing procedures and suggest improvements.,18.0000,0.0018,3.7222,4.0000,14.7222,14.3889,8.6250,24.1667
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",85.0000,0.0085,3.4706,4.0000,13.5059,13.3882,4.9038,18.3529
analyze experimental data and interpret results to write reports and summaries of findings.,948.0000,0.0948,3.3861,4.0000,15.1951,15.4146,4.1748,19.4615
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,26.0000,0.0026,3.5000,4.0000,13.4231,13.8462,4.0942,13.1923
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",28.0000,0.0028,3.4643,4.0000,13.8929,13.4286,4.2414,15.0357
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",15.0000,0.0015,4.0000,4.0000,15.2000,15.5333,6.8267,25.6667
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,1537.0000,0.1537,3.5211,4.0000,14.1672,13.8868,4.6017,19.9086
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,75.0000,0.0075,3.4933,4.0000,15.2133,15.2133,5.4527,17.9400
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,24.0000,0.0024,3.3750,3.0000,14.0417,12.1667,2.6550,14.7292
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",26.0000,0.0026,3.2308,3.0000,13.0385,13.2308,3.3981,17.8654
analyze information gathered by investigation and report findings and recommendations.,48.0000,0.0048,3.6250,4.0000,13.0833,12.3542,3.4052,18.0417
analyze information obtained from management to conceptualize and define operational problems.,754.0000,0.0754,3.5318,4.0000,13.3554,13.8024,4.7850,18.7029
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",336.0000,0.0336,3.7708,4.0000,14.5030,14.6190,8.0339,20.3378
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",1049.0000,0.1049,3.4480,4.0000,10.4385,10.0848,1.3412,10.4418
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",141.0000,0.0141,3.5177,4.0000,12.3901,12.7092,2.4752,12.4894
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",2286.0000,0.2286,3.5757,4.0000,12.5162,12.2537,2.0323,14.4209
analyze laboratory findings to check the accuracy of the results.,25.0000,0.0025,2.6800,3.0000,12.4000,13.3600,2.3608,8.1800
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",357.0000,0.0357,3.5126,4.0000,17.0952,17.5882,5.2975,23.3193
analyze market conditions to determine optimum times to execute securities transactions.,225.0000,0.0225,3.3244,4.0000,13.6267,13.3422,2.9438,16.4133
"analyze network data to determine network usage, disk space availability, or server function.",73.0000,0.0073,3.2740,3.0000,12.3699,12.5890,2.1145,11.5685
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",2862.0000,0.2862,3.6621,4.0000,14.3263,14.3445,6.6773,23.6106
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",50.0000,0.0050,3.3800,4.0000,13.6200,14.0800,4.1850,14.9300
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,109.0000,0.0109,3.6147,4.0000,14.4495,13.7615,3.4505,21.5413
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",1406.0000,0.1406,3.3535,4.0000,12.8514,12.3826,2.4444,12.6590
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",518.0000,0.0518,3.4093,4.0000,11.2548,11.1042,2.0499,8.3750
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",19.0000,0.0019,3.3158,4.0000,9.3684,7.4737,0.9405,7.3421
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,308.0000,0.0308,3.5584,4.0000,8.1623,7.6494,0.9964,10.7175
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,633.0000,0.0633,2.8199,3.0000,7.8104,7.3397,0.5305,3.1445
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",81.0000,0.0081,3.5062,4.0000,14.0617,14.6296,4.3864,16.5247
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,36.0000,0.0036,3.5556,4.0000,11.5833,10.5000,2.4333,15.1667
analyze potential loan markets and develop referral networks to locate prospects for loans.,52.0000,0.0052,3.3846,4.0000,12.4808,12.7115,5.9760,14.7788
analyze potential loan markets to find opportunities to promote loans and financial services.,94.0000,0.0094,3.7234,4.0000,11.2128,11.2553,4.1115,12.8777
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,16.0000,0.0016,3.7500,4.0000,16.5000,17.0000,6.3906,18.9375
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",46.0000,0.0046,3.2391,3.0000,11.9565,12.9783,2.1185,14.8043
analyze problems to develop solutions involving computer hardware and software.,73.0000,0.0073,3.7123,4.0000,14.6027,14.3151,6.1045,16.1849
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",91.0000,0.0091,3.5934,4.0000,9.0000,8.5604,2.5655,11.0275
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",525.0000,0.0525,3.5981,4.0000,12.7981,11.1581,1.2979,12.9657
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",43.0000,0.0043,3.4651,4.0000,15.6279,15.9302,4.1651,13.6628
"analyze research data to determine its significance, using computers.",105.0000,0.0105,3.3524,4.0000,14.0190,14.4667,3.4513,19.5429
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,20.0000,0.0020,3.6500,4.0000,15.1000,15.1000,11.0000,19.2000
analyze system performance or operational requirements.,686.0000,0.0686,3.5292,4.0000,12.8980,12.8965,2.6565,13.3222
analyze target companies or investment opportunities to inform investment decisions.,780.0000,0.0780,3.4692,4.0000,14.9205,14.7256,5.7964,11.3234
analyze technology trends to identify markets for future product development or to improve sales of existing products.,99.0000,0.0099,3.8081,4.0000,14.1616,13.9697,8.4338,14.6919
"analyze test data, making computations as necessary, to determine test results.",133.0000,0.0133,3.3158,3.0000,13.5639,14.0752,3.3683,16.6391
analyze test results and develop a treatment plan.,30.0000,0.0030,3.4000,3.5000,13.9000,12.4667,1.7567,24.8333
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",33.0000,0.0033,3.6667,4.0000,10.7576,10.1212,1.0091,14.8939
analyze the effectiveness of marketing tactics or channels.,43.0000,0.0043,3.5116,4.0000,13.0465,12.1860,2.3686,9.4884
"analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",15.0000,0.0015,3.2667,4.0000,13.2667,13.6000,3.6233,16.8000
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",104.0000,0.0104,3.5385,4.0000,13.7308,13.8077,7.6760,21.0240
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",154.0000,0.0154,3.4416,4.0000,14.9221,15.0779,5.7782,16.1558
"analyze the probable outcomes of cases, using knowledge of legal precedents.",63.0000,0.0063,3.5556,4.0000,15.5238,14.9683,3.8305,22.8889
"analyze training needs to design employee development, language training and health and safety programs.",21.0000,0.0021,3.6667,4.0000,13.1429,13.3333,4.7500,16.7619
analyze training needs to develop new training programs or modify and improve existing programs.,47.0000,0.0047,3.7660,4.0000,13.9149,14.2340,5.2755,18.1277
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",94.0000,0.0094,3.6064,4.0000,12.7447,11.8191,3.1345,9.6383
analyze user needs and recommend appropriate hardware.,88.0000,0.0088,3.6818,4.0000,9.4659,8.9091,1.6259,11.4773
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,5671.0000,0.5671,3.6362,4.0000,13.5995,13.6092,4.7111,16.4880
"analyze, estimate, or report production costs.",18.0000,0.0018,2.9444,3.0000,13.6667,13.8889,1.9917,13.0556
"analyze, interpret, or create graphical representations of energy data, using engineering software.",323.0000,0.0323,3.4149,4.0000,14.2322,14.2817,4.4849,16.0805
"analyze, interpret, or disseminate system performance data.",299.0000,0.0299,3.5017,4.0000,13.1070,12.9097,1.9852,12.0117
answer applicants' questions about benefits and claim procedures.,89.0000,0.0089,3.0674,3.0000,11.0112,10.5730,0.7799,8.4831
answer clients' questions about the purposes and details of financial plans and strategies.,801.0000,0.0801,3.3233,4.0000,11.7840,11.5218,2.1273,15.4906
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",144.0000,0.0144,3.0764,3.0000,11.6389,11.5764,1.4556,11.7951
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",86.0000,0.0086,3.0000,3.0000,8.4884,8.0000,0.4320,3.5698
answer customers' questions about merchandise and advise customers on merchandise selection.,328.0000,0.0328,3.5061,4.0000,8.5366,7.8994,1.1787,8.4314
answer customers' questions about postal services and regulations.,42.0000,0.0042,3.0476,3.0000,8.4762,8.2143,0.5688,6.6071
"answer customers' questions about products, prices, availability, or credit terms.",4174.0000,0.4174,3.1782,3.0000,8.3419,7.7595,0.7384,5.2636
